id,post_time,content,rise,post_id,segmented_content
1665117816862_PTT02R,2022-10-07,"https://imgur.com/2FT7ERK

持有如上,目標是7~10年內可以靠股利退休,所以必須得把池子挖大一點
既然是退休本,已有有抱20年以上的打算

目前唯一的操作是每月8萬定期定額存ETF
(00692*4,0056*2,00878*2,本業收入波動的話可能降成各2)
想請教成分股是否有需要調整,或是定期定額有其他標的可選擇?

請各位前輩指教

--
",-1.0,139582,"['https', ':', '/', '/', 'imgur.com/2FT7ERK', ' ', ' ', '持有', '如上', ',', '目標', '是', '7', '~', '10', '年', '內', '可以', '靠', '股利', '退休', ',', '所以', '必須', '得', '把', '池子', '挖大', '一點', ' ', '既然', '是', '退休', '本', ',', '已', '有', '有', '抱', '20', '年', '以上', '的', '打算', ' ', ' ', '目前', '唯一', '的', '操作', '是', '每月', '8萬', '定期', '定額', '存', 'ETF', ' ', '(', '00692', '*', '4,0056', '*', '2,0087', '8', '*', '2', ',', '本業', '收入', '波動', '的', '話', '可能', '降成', '各', '2', ')', ' ', '想', '請', '教', '成分股', '是否', '有', '需要', '調整', ',', '或是', '定期', '定額', '有', '其他', '標的', '可', '選擇', '?', ' ', ' ', '請', '各', '位', '前輩', '指教', ' ', ' ', '--']"
1676453909072_mobileR,2023-02-15,有不少分析認為賠錢,1.0,105020,"['有', '不少', '分析', '認為', '賠錢']"
1682584259250_mobileM,2023-04-27,不會,1.0,112268,['不會']
1654683922486_F0DCU,2022-06-08,"我用凱基證券
他們家交割戶是可以用原帳戶的
我自己財管、基金、ETF都是用綁一起
現在有定期定額活動，手續費是$1 你可以參考看看，先從入手學習開始，心態有存錢理財的正確觀念比較重要，至於薪轉幾次我覺得都沒啥差，因為不太可能小額一直轉Lol",-1.0,10395,"['我', '用', '凱基', '證券', ' ', '他們', '家', '交割戶', '是', '可以', '用', '原', '帳戶', '的', ' ', '我', '自己', '財管', '、', '基金', '、', 'ETF', '都', '是', '用', '綁', '一起', ' ', '現在', '有', '定期', '定額', '活動', '，', '手續費', '是', '$', '1', ' ', '你', '可以', '參考', '看看', '，', '先', '從', '入手', '學習', '開始', '，', '心態', '有', '存錢', '理財', '的', '正確', '觀念', '比較', '重要', '，', '至於', '薪轉', '幾', '次', '我', '覺得', '都', '沒', '啥', '差', '，', '因為', '不', '太', '可能', '小額', '一直', '轉', 'Lol']"
1667480024084_mobileR,2022-11-03,經歷過韓戰的老一輩南韓人，都知道韓戰結束後的經濟蕭條困苦，他們不會想要重回那個生活。,1.0,95753,"['經歷', '過', '韓戰', '的', '老一輩', '南韓人', '，', '都', '知道', '韓戰', '結束', '後', '的', '經濟', '蕭', '條', '困苦', '，', '他們', '不會', '想要', '重回', '那', '個', '生活', '。']"
1691838688365_F0DCU,2023-08-11,是要發幾篇,1.0,56392,"['是', '要', '發', '幾', '篇']"
1656004398494_F0DCU,2022-06-23,"一張不賣
不賣就沒有賠 哼！",-1.0,14299,"['一', '張', '不', '賣', ' ', '不', '賣', '就', '沒有', '賠', ' ', '哼', '！']"
1666771924116_mobileM,2022-10-26,這文章怪怪的，你文章後面沒有加上房價一折  退回重寫,1.0,92645,"['這', '文章', '怪怪', '的', '，', '你', '文章', '後面', '沒有', '加上', '房價', '一', '折', ' ', ' ', '退回', '重寫']"
1676625516870_F0DCU,2023-02-17,禮拜一下跌20%,1.0,33816,"['禮拜', '一下', '跌', '20', '%']"
1686389739974_F0DCUNEW,2023-05-24,上下100點就差了40萬，總共20口？,1.0,43279,"['上下', '100', '點', '就', '差', '了', '40萬', '，', '總共', '20', '口', '？']"
1683883883063_mobileM,2023-05-12,富邦金、中信金、國泰金、兆豐金…14家金控前4月誰賺最多？ https://www.businesstoday.com.tw/article/category/183017/post/202305110027/?utm_source=FB&utm_medium=article&utm_campaign=230511&mibextid=Zxz2cZ,1.0,113062,"['富邦金', '、', '中信金', '、', '國泰金', '、', '兆豐金', '…', '14', '家', '金控', '前', '4月', '誰', '賺', '最多', '？', ' ', 'https', ':', '//www.businesstoday.com.tw/article/category/183017/post/202305110027/?utm_source=FB&utm_medium=article&utm_campaign=230511&mibextid=Zxz2cZ']"
1647317516940_F0DCU,2022-03-15,因為你買 所以我賣了,1.0,1543,"['因為', '你', '買', ' ', '所以', '我', '賣', '了']"
1665565278538_mobileM,2022-10-12,很詳細的介紹.,-1.0,88874,"['很', '詳細', '的', '介紹', '.']"
1686535031392_F02_dcard,2023-06-12,"https://megapx-assets.dcard.tw/images/3b35d707-0be5-4e08-a13c-4a791879767f/orig.jpeg
https://megapx-assets.dcard.tw/images/23b4bdc8-afe9-40bd-9d33-9f92733df53c/orig.jpeg

📝零股投資日記
-
📌存股資歷：10個月
📌交易時間：2023/06/12
📌今日買進：2812台中銀
📌今年存入目標：480,000 💲 / 187,800 💲
-
每日台股開盤，不看價30股台中銀買進‼️
🚩定期定股存第（4天）
✅已成功買進，累積210股
電腦設定定期定股，重複扣款😅😅
-
今天收到00878的股利通知單，開心☺️
接下來往後的月份，筆者的個股也會開始發放股票與股利，收成的季節即將來臨🔥
0056、台中銀、櫻花建、玉山金、興富發、聯華、0050🤩🤩
7月份筆者又有退稅快8萬😁😁
真的蠻期待也蠻爽的！什麼事都不用做，專注本業、閒錢投放、等領息😍
-
白手起家，一切從0開始
實際持有、實際付出行動
分享買盤持股對帳單❤️
非常單純且紀錄著自己存股的投資⚠️
此粉絲專頁不提供買賣交易資訊
純屬個人投資股票紀錄
能存下來的錢才是本事
能存下來的錢才是真正的錢
-
📍股息目標：一年領100萬股利
「不斷更新」
2022年已實際領到現金股利：69743$
2023年已實際領到現金股利：4990$
-
2022年08月開始存股
2022年遇到的事：熱錢回收國際與國內高升息、俄烏戰爭、FTX倒閉幣圈崩盤、中國軍演鬧台、全世界通膨問題
2023年遇到的事：債卷ETF風盛、美國SVB銀行爆雷、美國銀行熔斷連鎖效應
-
#閒錢投資
#存股日記 
#國泰永續高股息 
#元大台灣50 
#元大高股息
#玉山金
#台中銀 
#櫻花建
#興富發 
#聯華
#仁寶",1.0,45491,"['https', ':', '//megapx-assets.dcard.tw/images/3b35d707-0be5-4e08-a13c-4a791879767f/orig.jpeg https://megapx-assets.dcard.tw/images/23b4bdc8-afe9-40bd-9d33-9f92733df53c/orig.jpeg ', ' 📝零股', '投資', '日記', ' ', '-', ' ', '📌', '存股', '資歷', '：', '10', '個', '月', ' ', '📌', '交易', '時間', '：', '20']"
1697093180864_mobileM,2023-10-12,朱立倫不可能給外省派出頭。 目前要大勝就是柯朱配，總統選舉可以票數過半。 國民黨立委可以比獨立參選多10席成為第一大黨，白藍加起來立委一定過半。,-1.0,126880,"['朱立倫', '不可能', '給', '外省', '派出頭', '。', ' ', '目前', '要', '大勝', '就', '是', '柯朱配', '，', '總統', '選舉', '可以', '票數', '過半', '。', ' ', '國民黨', '立委', '可以', '比', '獨立', '參選', '多', '10', '席', '成為', '第一', '大黨', '，', '白藍加', '起來', '立委', '一定', '過半', '。']"
1659695454529_F0DCU,2022-08-05,"要看各主力怎麼玩，阿老大也被隔日沖教育過
也有失敗案例，去年航空凱北拉漲停，隔天低開就下去",1.0,22119,"['要', '看', '各', '主力', '怎麼', '玩', '，', '阿', '老大', '也', '被', '隔日', '沖', '教育', '過', ' ', '也', '有', '失敗', '案例', '，', '去年', '航空', '凱北拉', '漲停', '，', '隔天', '低開', '就', '下去']"
1686372607099_F0DCUNEW,2023-05-30,快逃 最近外資為了拉富台指 硬撐指數,-1.0,43762,"['快', '逃', ' ', '最近', '外資', '為了', '拉富', '台', '指', ' ', '硬撐', '指數']"
1695961582472_F0DCU,2023-09-28,被騙超多次qq,1.0,62064,"['被', '騙', '超多', '次', 'qq']"
1646351989405_F0DCU,2022-03-03,賣掉吧 只會更低,-1.0,198,"['賣掉', '吧', ' ', '只', '會', '更', '低']"
1667813733267_mobileM,2022-11-07,上週五美國非農就業數據 人口增長26.1萬人 超乎市場預期 就業報告顯示 經濟復甦依舊強勁 兩名FED官員表示 可能放慢升息 Meta公司表示這週三可能大幅裁員 20大之後 港股一度崩跌至14600點 但隨後中國傳出今年3月要放寬清零政策 並要把騰訊收歸國有 5天時內港股飆漲15% 中國週六表示堅持動態清零政策 港股早上開低250點 但隨後依舊強勢大漲 收漲468點 台股今天開高130點 早盤稍有開高賣壓 但隨著港股開盤 買盤開始向上 otc這波上漲更是強勢 已經反彈15% 最終加權大盤收漲197點1.51%作收 成交量2046億 　 11/7三大法人現貨買超105億 外資減少1100口多單 多單水位來到4500口 10/17就表示這邊跌勢可能進入到這波跌勢的尾巴 10/20文章也提到認為達到短線觸底 在打底了 近期可能呈現震盪整理的格局 之後盤勢就沒有明顯的破底下跌行情 呈現一個橫盤整理 也一直提醒關鍵是否站上月線的位置 上禮拜五站上月線之後量也放大 今天就大漲了200多點 　 這波從9月中那波反彈開始布局空單 吃到這波最低也2200點了 10/20文章也有提到這波跌勢可能差不多 出現短線觸底 在打底了 但現在也反彈了600點 文章事先提到盤勢要注意的點 跟著注意的點去修正自己的操作與判斷 並嚴格增加紀律 我相信這波會是非常舒服的 我是非常舒服啦xDD 舒服的打舒服 　 目前盤勢的部分還壓在10/11的缺口 有提到可能會去回補這缺口 但是目前整體盤勢還是呈現震盪走勢 補了缺口之後有機會就去看季線 OTC相對加權來比 真的差蠻多的 有道說中小型先行 權值後面跟上 不過明天是美國期中選舉 加上這個月非常多的事件 再讓我們聽看走 一切遵守紀律 不凹單 不攤平 不開槓桿 操作上請千萬要嚴格設立好停損點 　 以上文章皆屬個人免費每日投資經驗分享，內容僅供參考，投資人應審慎評估投資風險並自負盈虧,1.0,96603,"['上', '週五', '美國', '非', '農', '就業', '數據', ' ', '人口', '增長', '26.1', '萬', '人', ' ', '超乎', '市場', '預期', ' ', '就業', '報告', '顯示', ' ', '經濟', '復甦', '依舊', '強勁', ' ', '兩', '名', 'FED', '官員', '表示', ' ', '可能', '放慢', '升息', ' ', 'Meta', '公司', '表示', '這', '週三', '可能', '大幅', '裁員', ' ', '20', '大', '之後', ' ', '港股', '一度', '崩跌', '至', '14600', '點', ' ', '但', '隨後', '中國', '傳出', '今年', '3月', '要', '放寬', '清零', '政策', ' ', '並', '要', '把', '騰訊', '收歸', '國有', ' ', '5', '天', '時內', '港股', '飆漲', '15', '%', ' ', '中國', '週六', '表示', '堅持', '動態', '清零', '政策', ' ', '港股', '早上', '開低', '250', '點', ' ', '但', '隨後', '依舊', '強勢', '大漲', ' ', '收', '漲', '468', '點', ' ', '台股', '今天', '開高', '130', '點', ' ', '早盤', '稍', '有']"
1655716455534_F01,2022-06-20,相信樓主現在應該是六神無主<BR>前陣子有個人也是問相同的問題那是上個月底左右<BR>再過一陣子應該會有更多畢業文出現吧自己要有自己的進出策略<BR>今天我也停損一張週五買的股票<BR>雖然後來又漲回去一點<BR>我設5%停損（一天就5%表示大盤有多差）<BR>到了就是出場不戀棧<BR>後面怎樣也不關我的事了,-1.0,76314,"['相信', '樓主', '現在', '應該', '是', '六神', '無主', '<', 'BR', '>', '前陣子', '有', '個人', '也', '是', '問', '相同', '的', '問題', '那', '是', '上', '個', '月', '底', '左右', '<', 'BR', '>', '再', '過', '一陣子', '應該', '會', '有', '更多', '畢業', '文', '出現', '吧', '自己', '要', '有', '自己', '的', '進出', '策略', '<', 'BR', '>', '今天', '我', '也', '停損', '一', '張', '週五', '買', '的', '股票', '<', 'BR', '>', '雖然', '後來', '又', '漲', '回去', '一', '點', '<', 'BR', '>', '我', '設', '5', '%', '停損', '（', '一', '天', '就', '5', '%', '表示', '大', '盤', '有', '多差', '）', '<', 'BR', '>', '到', '了', '就是', '出場', '不戀', '棧', '<', 'BR', '>', '後面', '怎樣', '也', '不', '關', '我', '的', '事', '了']"
1665672463798_mobileM,2022-10-13,今天CPI開獎 核心CPI創新高 算是重大利空 道瓊開盤大跌500點 開盤後快速收斂 如果道瓊收盤時下跌幅度於0.5% 台股高機率短期走一波反彈500點 如果道瓊收小紅以上 台股高機率短期強彈800-1000點,-1.0,90039,"['今天', 'CPI', '開獎', ' ', '核心', 'CPI', '創新', '高', ' ', '算', '是', '重大', '利空', ' ', '道瓊', '開盤', '大跌', '500', '點', ' ', '開盤', '後', '快速', '收斂', ' ', '如果', '道瓊', '收盤', '時', '下跌', '幅度', '於', '0.5', '%', ' ', '台股', '高', '機率', '短期', '走', '一', '波', '反彈', '500', '點', ' ', '如果', '道瓊', '收', '小紅', '以上', ' ', '台股', '高', '機率', '短期', '強彈', '800', '-', '1000', '點']"
1686535604278_F02_dcard,2023-06-12,可以看之前的分析,1.0,45499,"['可以', '看', '之前', '的', '分析']"
1659553292902_F0DCUNEW,2022-07-06,因為都是新手股息仔在問要不要停損,1.0,18922,"['因為', '都', '是', '新手', '股息仔', '在', '問', '要', '不要', '停損']"
1697111841249_F0DCU,2023-10-12,瘋狂攤平⋯⋯然後800股？？,-1.0,62202,"['瘋狂', '攤平', '⋯', '⋯', '然後', '800', '股', '？', '？']"
1705579505036_F0DCU,2024-01-18,我猜跌1000反正不用負責,1.0,67528,"['我', '猜', '跌', '1000', '反正', '不用', '負責']"
1698950609076_F0DCU,2023-11-02,恭喜你賺了1048元了哈哈,1.0,65374,"['恭喜', '你', '賺', '了', '1048', '元', '了', '哈哈']"
1660012153242_F0DCU,2022-08-08,Excel裡幾零都有,1.0,22327,"['Excel', '裡', '幾', '零', '都', '有']"
1671638406484_F0DCU,2022-12-21,大摩看最壞卻買最多🤣,-1.0,31410,"['大摩', '看', '最', '壞', '卻', '買', '最多', '🤣']"
1665029677327_mobileM,2022-10-06,你看！ 你不放馬英九 就漲了700點了,-1.0,86758,"['你', '看', '！', ' ', '你', '不', '放', '馬英九', ' ', '就', '漲', '了', '700', '點', '了']"
1676963706389_PTT02R,2023-02-21,"https://www.tpex.org.tw/web/stock/3insti/3insti_summary/3itrdsum.php?l=zh-tw


112年02月21日 櫃買+0.80%三大法人買賣金額統計表

單位名稱        買進金額(億元)  賣出金額(億元)  買賣差額(億元)

自營商(自行買賣)    6.42           4.72                   +1.70 

自營商(避險)        7.07           5.21                   +1.85 

投  信             12.16           6.33                   +5.83 

外資及陸資        129.62         118.46                  +11.15 


=========================================================================
合 計             155.28         134.74                  +20.54 


鰻魚擺尾~~


---------紅字綠字為前五連買連賣股票-----------

投信買超                投信賣超

1.世界        +1996          1.金居        -1286
2.元太        +1400          2.立端         -514
3.大江         +413          3.盤儀         -420
4.大學光       +213          4.群聯         -214
5.優鮮         +202          5.台燿         -204


--------黃字為前五隔日沖股票--------------

外資買超                外資賣超

1.健喬        +3842          1.佶優        -2992
2.良維        +2730          2.榮剛        -2900
3.元太        +2360          3.國統        -2327
4.世界        +1461          4.華星光      -1644
5.光頡        +1407          5.泰詠        -1296

----------------同場加映-------------------

元太      外 +2360     投 +1400    自 +583
頎邦      外 +454      投 -16      自 +123


--
",1.0,142855,"['https://www.tpex.org.tw/web/stock/3insti/3insti_summary/3itrdsum.php?l=zh-tw', ' ', ' ', ' ', '112年', '02月', '21日', ' ', '櫃', '買', '+', '0.80', '%', '三', '大', '法人', '買賣', '金額', '統計表', ' ', ' ', '單位', '名稱', ' ', '  ', ' ', ' ', '  ', ' ', '買進', '金額', '(', '億', '元', ')', ' ', ' ', '賣出', '金額', '(', '億', '元', ')', ' ', ' ', '買賣', '差額', '(', '億', '元', ')', ' ', ' ', '自營商', '(', '自行', '買賣', ')', '    ', '6.42', '           ', '4.72', '               ']"
1675142382143_mobileM,2023-01-31,"你怎麼會認為一片看好？？？ 美國科技企業還在裁員......FED 還在升息, CPI離3%還有點遠 即使股市會提早六個月反應.........上面事實都還沒落定, 只是看到希望 誰說是一片看好？？？   如果企業 CEO 對未來一片看好, 現在為了節省成本裁員？？？",1.0,103657,"['你', '怎麼', '會', '認為', '一', '片', '看好', '？', '？', '？', ' ', '美國', '科技', '企業', '還', '在', '裁員', '......', 'FED', ' ', '還', '在', '升息', ',', ' ', 'CPI', '離', '3', '%', '還', '有點', '遠', ' ', '即使', '股市會', '提早', '六', '個', '月', '反應', '.........', '上面', '事實', '都', '還', '沒', '落定', ',', ' ', '只是', '看到', '希望', ' ', '誰', '說', '是', '一', '片', '看好', '？', '？', '？', '   ', '如果', '企業', ' ', 'CEO', ' ', '對', '未來', '一', '片', '看好', ',', ' ', '現在', '為了', '節省', '成本', '裁員', '？', '？', '？']"
